a_sex;year;ahe12
1;1992;18.30968857
1;1992;16.36428452
1;1992;24.47649384
2;1992;14.171628
1;1992;23.60233307
2;1992;12.98128319
2;1992;22.47841263
1;1992;38.55047607
1;1992;14.9856081
1;1992;9.834305763
2;1992;8.339490891
2;1992;19.84935951
1;1992;20.41501045
2;1992;23.82988358
1;1992;28.48015022
1;1992;13.79828644
2;1992;17.62307549
1;1992;23.59446526
1;1992;25.1758213
1;1992;22.02884483
2;1992;27.97313499
2;1992;10.22767735
2;1992;20.49194908
2;1992;22.37850952
1;1992;23.37754822
1;1992;36.73545837
1;1992;29.54662323
1;1992;37.76373291
1;1992;60.84156799
2;1992;30.68303299
1;1992;31.46977806
1;1992;20.0494957
2;1992;27.53605652
1;1992;29.54662323
2;1992;36.97698593
1;1992;11.80116653
1;1992;35.4034996
1;1992;14.39742279
1;1992;28.32279778
1;1992;52.71187973
1;1992;19.66861153
1;1992;25.96256638
2;1992;11.01442242
2;1992;15.73488903
1;1992;29.10954475
1;1992;28.32279778
1;1992;26.185215
2;1992;23.37754822
1;1992;17.30837822
1;1992;7.854856968
1;1992;14.31874847
1;1992;23.37225342
1;1992;17.30837822
1;1992;12.06341457
2;1992;18.09512329
2;1992;19.58119392
1;1992;30.77044868
1;1992;20.14065742
2;1992;11.80116653
2;1992;19.66861153
1;1992;59.00583649
2;1992;7.867444515
1;1992;22.55334091
1;1992;27.53605652
1;1992;26.74930954
1;1992;27.53605652
2;1992;21.24209976
2;1992;22.02884483
1;1992;13.11240673
1;1992;11.01442242
1;1992;23.35756874
2;1992;31.46977806
1;1992;16.99367905
2;1992;26.74930954
1;1992;30.84038162
1;1992;43.66431427
2;1992;39.33722305
2;1992;18.88186646
2;1992;11.45499897
1;1992;13.84670162
1;1992;22.17360497
1;1992;47.20466614
2;1992;15.44880009
1;1992;23.2876358
1;1992;14.68589592
2;1992;20.94628334
1;1992;74.74072266
2;1992;18.09512329
2;1992;19.66861153
1;1992;41.95970154
1;1992;5.844387054
1;1992;23.60233307
2;1992;33.83000946
1;1992;12.58791065
1;1992;24.54642677
1;1992;48.95298767
2;1992;25.96256638
1;1992;39.65192032
2;1992;25.1758213
2;1992;15.73488903
1;1992;26.43461418
1;1992;26.57448006
1;1992;43.35836029
2;1992;23.60233307
1;1992;25.1758213
1;1992;67.66001892
2;1992;19.66861153
2;1992;18.18253708
1;1992;17.30837822
1;1992;23.60233307
2;1992;25.1758213
2;1992;24.47649384
2;1992;39.33722305
1;1992;25.1758213
2;1992;18.88186646
1;1992;40.91070938
2;1992;17.48320961
2;1992;18.88186646
1;1992;25.1758213
1;1992;22.88711166
1;1992;19.66861153
2;1992;23.60233307
1;1992;19.75148201
2;1992;19.40636253
1;1992;28.32279778
2;1992;16.85880852
2;1992;7.879403114
2;1992;20.97985077
2;1992;16.36428452
1;1992;40.91070938
1;1992;35.4034996
1;1992;12.58791065
1;1992;39.33722305
2;1992;21.24209976
2;1992;18.88186646
1;1992;31.46977806
2;1992;26.43461418
1;1992;22.31493378
1;1992;17.48320961
2;1992;21.24209976
1;1992;14.10028553
1;1992;59.00583649
2;1992;18.56716919
1;1992;29.10954475
2;1992;24.47649384
2;1992;24.37071228
1;1992;16.36428452
2;1992;15.73488903
2;1992;16.53107452
1;1992;27.4573822
2;1992;17.7017498
2;1992;23.60233307
2;1992;20.45535469
1;1992;23.2876358
1;1992;18.88186646
1;1992;29.89628792
1;1992;9.626049042
2;1992;19.66861153
2;1992;25.96256638
1;1992;56.64559555
1;1992;31.46977806
1;1992;41.19680023
1;1992;24.38907623
1;1992;32.25652313
1;1992;33.0432663
2;1992;29.9712162
2;1992;27.6374588
1;1992;15.10549355
2;1992;33.0432663
1;1992;11.80116653
1;1992;23.60233307
2;1992;17.7017498
1;1992;27.53605652
1;1992;19.78100395
2;1992;15.73488903
2;1992;20.23900032
1;1992;16.52163315
2;1992;19.66861153
1;1992;24.47649384
2;1992;17.62307549
2;1992;30.68303299
2;1992;27.53605652
1;1992;20.77005196
1;1992;20.59840012
2;1992;23.60233307
2;1992;23.60233307
1;1992;16.10081673
2;1992;19.27523804
2;1992;18.35737038
1;1992;24.8127079
1;1992;33.83000946
1;1992;13.91932487
1;1992;18.88186646
1;1992;29.89628792
2;1992;40.91070938
2;1992;23.60233307
1;1992;20.45535469
1;1992;13.4870472
1;1992;23.60233307
2;1992;23.60233307
2;1992;25.1758213
2;1992;28.32279778
1;1992;17.62307549
1;1992;31.46977806
1;1992;40.35998917
2;1992;26.43461418
1;1992;23.60233307
2;1992;35.4034996
2;1992;16.67898178
1;1992;29.10954475
1;1992;38.55047607
2;1992;14.90673733
2;1992;33.26805115
2;1992;22.02884483
2;1992;15.73488903
2;1992;21.67918015
1;1992;22.02884483
2;1992;34.21289444
1;1992;31.46977806
1;1992;25.1758213
1;1992;10.07032871
1;1992;19.66861153
2;1992;22.47841263
1;1992;24.0701828
1;1992;15.73488903
2;1992;28.77236938
2;1992;22.02884483
2;1992;13.9865675
1;1992;15.73488903
2;1992;22.15996933
1;1992;23.60233307
2;1992;51.13838959
1;1992;38.39312744
2;1992;33.0432663
1;1992;13.34318542
2;1992;38.46306229
1;1992;16.36428452
2;1992;25.1758213
2;1992;25.80521774
2;1992;20.45535469
2;1992;22.815588
2;1992;13.76802826
1;1992;39.33722305
1;1992;29.89628792
2;1992;31.46977806
1;1992;32.72856903
2;1992;31.46977806
1;1992;21.24209976
2;1992;18.09512329
2;1992;5.211395264
1;1992;25.1758213
2;1992;24.38907623
2;1992;14.35463524
2;1992;22.09178352
2;1992;40.46114349
1;1992;20.45535469
1;1992;17.04612923
2;1992;20.68013954
1;1992;22.815588
1;1992;23.60233307
1;1992;16.08455276
1;1992;54.26931
1;1992;22.815588
2;1992;21.24209976
2;1992;28.32279778
2;1992;29.89628792
1;1992;35.93785477
2;1992;26.37560654
2;1992;11.52493191
2;1992;20.45535469
1;1992;33.83000946
1;1992;19.68434525
1;1992;32.25652313
2;1992;19.66861153
1;1992;35.4034996
1;1992;22.02884483
1;1992;31.46977806
1;1992;12.19453812
1;1992;34.09225845
2;1992;36.36507416
1;1992;13.0914278
2;1992;20.77005196
2;1992;14.16139889
1;1992;23.84779739
2;1992;2.787322998
1;1992;25.39696121
1;1992;26.32017708
1;1992;27.97313499
2;1992;19.58993721
1;1992;24.38907623
2;1992;25.96256638
1;1992;16.36428452
1;1992;29.89628792
2;1992;11.45499897
2;1992;19.66861153
2;1992;18.88186646
1;1992;27.53605652
1;1992;20.7684803
1;1992;15.73488903
1;1992;17.08359337
1;1992;11.3640871
1;1992;27.7983017
1;1992;39.751297
2;1992;19.27523804
2;1992;19.35391426
1;1992;28.77236938
1;1992;25.1758213
1;1992;22.47841263
1;1992;17.62307549
1;1992;21.24209976
1;1992;16.18445778
1;1992;40.05244446
1;1992;13.37465477
1;1992;22.02884483
1;1992;15.49281406
2;1992;21.95565796
2;1992;27.37870789
1;1992;23.07783699
1;1992;34.61675644
2;1992;19.66861153
2;1992;15.73488903
1;1992;25.96256638
1;1992;47.20466614
1;1992;26.74930954
1;1992;36.04719925
2;1992;15.73488903
1;1992;24.38907623
1;1992;24.38907623
2;1992;20.45535469
2;1992;21.45666695
1;1992;39.33722305
1;1992;43.92656326
2;1992;19.66861153
1;1992;19.40636253
2;1992;16.94526482
2;1992;12.58791065
2;1992;34.78238297
2;1992;23.60233307
2;1992;21.24209976
2;1992;33.83000946
2;1992;20.6332283
1;1992;31.46977806
1;1992;31.46977806
2;1992;23.60233307
1;1992;27.53605652
2;1992;23.37754822
1;1992;36.19024658
1;1992;17.30837822
1;1992;31.46977806
2;1992;36.97698593
2;1992;29.89628792
1;1992;49.3310051
2;1992;20.23057175
2;1992;18.88186646
2;1992;34.21289444
1;1992;32.0991745
2;1992;8.65418911
2;1992;22.47841263
2;1992;15.73488903
